127.0.0.1 - - [09/Sep/2020:18:16:20 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:00 +0800] "GET /hrsys/index.html HTTP/1.1" 200 5338
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:00 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:00 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:00 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:00 +0800] "GET /hrsys/welcome.html HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:00 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:01 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:01 +0800] "GET /hrsys/welcome.html HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:01 +0800] "GET /hrsys/resource/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:01 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:05 +0800] "GET /hrsys/login.html HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:05 +0800] "GET /hrsys/resource/image/hrsysbgimg.jpg HTTP/1.1" 200 320611
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:05 +0800] "GET /hrsys/resource/js/login.js HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:05 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:21:06 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:48:57 +0800] "POST /hrsys/login HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:49:24 +0800] "GET /hrsys/system/user.html HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:49:24 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 200 8803
